times,accel,model
2.4,0.0,baseline
2.6,-1.3,sport
3.2,-2.7,touring
3.6,0.0,baseline
4.0,-2.7,sport
6.2,-2.7,touring
6.6,-2.7,baseline
6.8,-1.3,sport
7.8,-2.7,touring
8.2,-2.7,baseline
8.8,-1.3,sport
8.8,-2.7,touring
9.6,-2.7,baseline
10.0,-2.7,sport
10.2,-5.4,touring
10.6,-2.7,baseline
11.0,-5.4,sport
11.4,0.0,touring
13.2,-2.7,baseline
13.6,-2.7,sport
13.8,0.0,touring
14.6,-13.3,baseline
14.6,-5.4,sport
14.6,-5.4,touring
14.6,-9.3,baseline
14.6,-16.0,sport
14.6,-22.8,touring
14.8,-2.7,baseline
15.4,-22.8,sport
15.4,-32.1,touring
15.4,-53.5,baseline
15.4,-54.9,sport
15.6,-40.2,touring
15.6,-21.5,baseline
15.8,-21.5,sport
15.8,-50.8,touring
16.0,-42.9,baseline
16.0,-26.8,sport
16.2,-21.5,touring
16.2,-50.8,baseline
16.2,-61.7,sport
16.4,-5.4,touring
16.4,-80.4,baseline
16.6,-59.0,sport
16.8,-71.0,touring
16.8,-91.1,baseline
16.8,-77.7,sport
17.6,-37.5,touring
17.6,-85.6,baseline
17.6,-123.1,sport
17.6,-101.9,touring
17.8,-99.1,baseline
17.8,-104.4,sport
18.6,-112.5,touring
18.6,-50.8,baseline
19.2,-123.1,sport
19.4,-85.6,touring
19.4,-72.3,baseline
19.6,-127.2,sport
20.2,-123.1,touring
20.4,-117.9,baseline
21.2,-134.0,sport
21.4,-101.9,touring
21.8,-108.4,baseline
22.0,-123.1,sport
23.2,-123.1,touring
23.4,-128.5,baseline
24.0,-112.5,sport
24.2,-95.1,touring
24.2,-81.8,baseline
24.6,-53.5,sport
25.0,-64.4,touring
25.0,-57.6,baseline
25.4,-72.3,sport
25.4,-44.3,touring
25.6,-26.8,baseline
26.0,-5.4,sport
26.2,-107.1,touring
26.2,-21.5,baseline
26.4,-65.6,sport
27.0,-16.0,touring
27.2,-45.6,baseline
27.2,-24.2,sport
27.2,9.5,touring
27.6,4.0,baseline
28.2,12.0,sport
28.4,-21.5,touring
28.4,37.5,baseline
28.6,46.9,sport
29.4,-17.4,touring
30.2,36.2,baseline
31.0,75.0,sport
31.2,8.1,touring
32.0,54.9,baseline
32.0,48.2,sport
32.8,46.9,touring
33.4,16.0,baseline
33.8,45.6,sport
34.4,1.3,touring
34.8,75.0,baseline
35.2,-16.0,sport
35.2,-54.9,touring
35.4,69.6,baseline
35.6,34.8,sport
35.6,32.1,touring
36.2,-37.5,baseline
36.2,22.8,sport
38.0,46.9,touring
38.0,10.7,baseline
39.2,5.4,sport
39.4,-1.3,touring
40.0,-21.5,baseline
40.4,-13.3,sport
41.6,30.8,touring
41.6,-10.7,baseline
42.4,29.4,sport
42.8,0.0,touring
42.8,-10.7,baseline
43.0,14.7,sport
44.0,-1.3,touring
44.4,0.0,baseline
45.0,10.7,sport
46.6,10.7,touring
47.8,-26.8,baseline
47.8,-14.7,sport
48.8,-13.3,touring
50.6,0.0,baseline
52.0,10.7,sport
53.2,-14.7,touring
55.0,-2.7,baseline
55.0,10.7,sport
55.4,-2.7,touring
57.6,10.7,baseline
